date,tweet,likes_count
2022-03-02,"['we', 'could', '’', 've', 'make', 'a', '600', 'mile', 'model', 's', '12', 'month', 'ago', ',', 'but', 'that', 'would', '’', 've', 'make', 'the', 'product', 'worse', 'imo', ',', 'as', '99.9', '%', 'of', 'time', 'you', '’', 'd', 'be', 'carry', 'unneeded', 'battery', 'mass', ',', 'which', 'make', 'acceleration', ',', 'handle', '&', 'amp', ';', 'efficiency', 'worse', '.', 'even', 'our', '400', '+', 'mile', 'range', 'car', 'be', 'more', 'than', 'almost', 'anyone', 'will', 'use', '.']",22213
2022-03-02,"['🤣', '🤣', 'that', 'be', 'me', 'tweet', 'from', 'when', 'someone', 'else', 'have', 'snatch', 'my', 'name', '.', 'i', 'be', 'actually', 'one', 'of', 'the', 'earliest', 'twitter', 'user', ',', 'but', 'drop', 'my', 'account', 'because', 'people', 'be', 'tweet', 'such', 'triviality', 'at', 'first', '.', 'convince', 'me', 'to', 'get', 'back', 'in', '.']",25778
2022-03-02,"['the', 'probability', 'of', 'tesla', 'die', 'in', '2008/2009', 'be', 'very', 'high', '.', 'we', 'close', 'our', 'financing', 'round', 'at', '6pm', 'on', 'dec', '24th', '–', 'the', 'last', 'working', 'hour', 'of', 'the', 'last', 'day', 'before', 'tesla', 'would', 'otherwise', 'bounce', 'payroll', '.']",5880
2022-03-02,"['self-driving', 'car', '&', 'amp', ';', 'useful', 'humanoid', 'robot', 'require', 'a', 'sophisticated', 'understanding', 'of', 'reality', '.', 'i', 'be', 'increasingly', 'convince', 'that', 'they', 'be', 'on', 'the', 'path', 'to', 'solve', 'agi', '.', 'should', 'agi', 'be', 'solve', '?', 'i', 'don', '’', 't', 'know', ',', 'but', 'humanity', 'be', 'move', 'rapidly', 'in', 'this', 'direction', 'whether', 'i', 'like', 'it', 'or', 'not', '.']",5430
2022-03-02,"['pretty', 'good', 'summary', ',', 'although', 'national', 'pride', 'be', 'underweighted', 'relative', 'to', 'economics', '.', 'latter', 'serve', 'former', ',', 'not', 'other', 'way', 'around', '.', 'the', 'foundational', 'issue', 'imo', ',', 'which', 'this', 'video', 'doesn', '’', 't', 'ignore', ',', 'be', 'low', 'birth', 'rate', '.', 'after', 'all', ',', 'what', 'good', 'be', 'land', 'with', 'no', 'people', '?']",8482
2022-03-02,['.'],9167
2022-03-02,"['saints', 'row', 'iv', 'be', 'sickkk']",3843
2022-03-02,"['saints', 'row']",7548
2022-03-02,"['well', ',', 'i', 'do', 'have', 'multiple', 'personality', 'disorder', ',', 'but', 'they', '’', 're', 'all', 'technically', 'in', 'the', 'same', 'head']",71544
2022-03-02,['investigating'],5120
2022-03-02,"['tesla', 'have', 'create', 'over', '50,000', 'us', 'job', 'build', 'electric', 'vehicle', '&', 'amp', ';', 'be', 'invest', 'more', 'than', 'double', 'gm', '+', 'ford', 'combine', '[', 'fyi', 'to', 'person', 'control', 'this', 'twitter', ']']",270829
2022-03-02,"['our', 'primary', 'challenge', 'be', 'affordability', '.', 'creating', 'an', 'expensive', 'truck', 'be', 'relatively', 'easy', '.', 'if', 'it', 'be', 'extremely', 'hard', 'to', 'do', 'so', 'for', 'tesla', ',', 'despite', 'our', 'much', 'greater', 'economy', 'of', 'scale', '&', 'amp', ';', 'better', 'technology', ',', 'then', 'it', 'be', 'damn', 'near', 'impossible', 'for', 'others', '.']",8802
2022-03-02,"['he', 'play', 'golf', 'a', 'lot']",2830
2022-03-02,"['saudi', 'arabia', 'own', '2/3', 'of', 'lucid', ',', 'so', 'inevitable']",4609
2022-03-02,"['their', 'negative', 'gross', 'margin', 'will', 'be', 'stagger']",7461
2022-03-02,"['coming', 'soon', ',', 'if', 'you', 'want', 'your', 'car', 'to', 'make', 'a', 'loud', 'farting', 'sound', 'from', 'the', 'external', 'speaker', ',', 'just', 'say', '“', 'fart', 'in', 'their', 'general', 'direction', '!', '”']",8115
2022-03-02,"['all', 'car', 'make', 'since', 'november', 'also', 'have', 'push', 'center', 'for', 'horn', '–', 'just', 'wait', 'on', 'firmware', 'update', '.', 'if', 'you', 'mash', 'right', 'side', 'of', 'yoke', 'with', 'your', 'palm', ',', 'horn', 'will', 'trigger', '.']",3198
2022-03-02,"['if', 'your', 'war', 'technology', 'level', 'be', 'far', 'higher', 'than', 'your', 'opponent', ',', 'tactic', 'don', '’', 't', 'matter', ':', 'source_not_found']",7064
2022-03-02,"['swipe', 'down', 'on', 'navigate', 'button', 'to', 'navigate', 'home', 'or', 'to', 'work', 'if', 'at', 'home']",3977
2022-03-01,"['depends', 'on', 'what', 'issue', 'we', 'see', 'that', 'be', 'unique', 'to', 'canada', '.', 'if', 'thing', 'be', 'look', 'good', ',', 'then', 'we', 'can', 'lower', 'the', 'safety', 'score', 'threshold', '.']",9915
2022-03-01,"['you', 'be', 'most', 'welcome']",249465
2022-02-27,"['starlink', 'service', 'be', 'now', 'active', 'in', 'ukraine', '.', 'more', 'terminal', 'en', 'route', '.']",830581
2022-02-26,"['good', 'thread']",16995
2022-02-26,['yes'],23134
2022-02-26,[],70257
2022-02-26,"['would', 'be', 'a', 'good', 'move', '.', 'needs', 'to', 'include', 'put', 'option', '&', 'amp', ';', 'synthetic', 'short', '.']",16034
2022-02-25,"['successful', 'starlink', 'deploy']",36880
2022-02-25,"['we', '’', 've', 'have', 'about', '60', 'or', 'so', 'car', 'test', 'internally', 'in', 'canada', '.', 'hoping', 'to', 'go', 'wider', 'this', 'weekend', '.']",9472
2022-02-25,"['starlink', 'be', 'a', 'little', 'patchy', 'to', 'tonga', 'right', 'now', ',', 'but', 'will', 'improve', 'dramatically', 'as', 'laser', 'inter-satellite', 'link', 'activate']",7138
2022-02-25,['yes'],10004
2022-02-25,['🤣'],3799
2022-02-25,"['lidar', 'be', 'a', 'seductive', 'local', 'maximum', '.', 'spacex', 'design', '&', 'amp', ';', 'build', 'them', 'to', 'dock', 'with', 'iss', '.', 'however', ',', 'the', 'road', 'system', 'be', 'design', 'to', 'work', 'with', 'biological', 'neural', 'net', '&', 'amp', ';', 'eye', ',', 'so', 'a', 'general', 'solution', 'to', 'self-driving', 'necessarily', 'will', 'require', 'silicon', 'neural', 'net', '&', 'amp', ';', 'camera', '.', 'real-world', 'ai', '.']",6542
2022-02-25,"['protagonists', 'create', 'over', 'half', 'a', 'century', 'ago', 'don', '’', 't', 'count']",3639
2022-02-25,"['signal', 'be', 'the', 'least', 'insecure', 'messaging', 'service']",4065
2022-02-25,"['hollywood', 'refuse', 'to', 'write', 'even', 'one', 'story', 'about', 'an', 'actual', 'company', 'startup', 'where', 'the', 'ceo', 'isn', '’', 't', 'a', 'dweeb', 'and', '/', 'or', 'evil']",10933
2022-02-25,"['just', 'imessage', '&', 'amp', ';', 'signal']",4083
2022-02-25,"['me', 'too']",4212
2022-02-25,"['actual', 'question', ',', 'not', 'rhetorical']",2164
2022-02-25,"['are', 'you', 'sure', 'signal', 'be', 'secure', '?']",3459
2022-02-25,['🤣'],12509
2022-02-23,"['i', 'didn', '’', 't', 'start', 'the', 'fight', ',', 'but', 'i', 'will', 'finish', 'it', '.']",33278
2022-02-23,"['building', 'a', 'case', 'be', 'exactly', 'what', 'i', '’', 've', 'be', 'do']",32044
2022-02-23,['exactly'],5595
2022-02-23,"['would', 'be', 'cool', 'if', 'we', 'be', 'back', 'up', 'somehow']",9105
2022-02-23,['yeah'],8200
2022-02-23,"['yeah', ',', 'definitely', 'don', '’', 't', 'use', 'c', 'unless', 'optimize', 'for', 'hardware', 'performance', '!']",3502
2022-02-23,"['i', '’', 'm', 'a', 'fan', 'of', 'rust', '.', 'clearly', 'scale', 'well', ',', 'give', 'that', 'discord', 'use', 'it', '.', 'for', 'max', 'performance', ',', 'however', ',', 'nothing', 'beat', 'tight', 'c', 'with', 'a', 'customized', 'compiler', 'on', 'specialized', 'hardware', '.', 'important', 'for', 'max', 'frame', 'rate', 'on', 'vehicle', 'inference', 'computer', '.', 'otherwise', ',', 'we', 'mostly', 'use', 'c', '+', '+', '&', 'amp', ';', 'python', '.']",10989
2022-02-23,"['while', 'it', 'be', 'tempt', 'to', 'focus', 'on', 'one', 'of', 'those', 'arena', 'as', 'the', '“', 'hard', 'one', '”', ',', 'in', 'fact', 'they', 'be', 'all', 'difficult', '&', 'amp', ';', 'important', '.', 'tight', 'c', '&', 'amp', ';', 'custom', 'compiler', 'too', '.', 'an', 'inference', 'computer', 'optimize', 'for', 'energy', 'efficiency', ',', 'reliability', '&', 'amp', ';', 'long', 'life', 'be', 'also', 'critical', '.', 'can', '’', 't', 'just', 'jam', 'gpus', 'in', 'the', 'trunk', '.']",3343
2022-02-23,['definitely'],2324
2022-02-23,"['a', 'general', 'solution', 'to', 'self-driving', '(', 'essentially', ',', 'real-world', 'ai', ')', 'require', 'write', 'extremely', 'difficult', 'software', 'in', 'the', 'arena', 'of', 'training', ',', 'inference', ',', 'control', ',', 'analytical', 'tool', ',', 'data', 'management', ',', 'hardware', 'optimization', '&', 'amp', ';', 'simulation', '.', 'one', 'of', 'the', 'hardest', 'technology', 'problem', 'that', 'exist', '.']",7605
2022-02-23,"['compilers', 'can', 'be', 'way', 'well', 'too', '.', 'not', 'enough', 'effort', 'spend', 'there', '.']",2886
2022-02-23,['💯'],4162
2022-02-23,[],205929
2022-02-23,"['sorry', '!']",1250
2022-02-23,['💯'],2442
2022-02-23,"['we', '’', 're', 'work', 'through', 'the', 'general', 'case', 'of', 'make', 'steam', 'game', 'work', 'on', 'a', 'tesla', 'v', 'specific', 'title', '.', 'former', 'be', 'obviously', 'where', 'we', 'should', 'be', 'long-term', '.']",2964
2022-02-23,"['yes', '.', 'this', 'be', 'an', 'advantage', 'of', 'iron', 'cathode', 'lithium', 'battery', '.']",13243
2022-02-23,"['night', 'city', 'have', 'beautiful', 'art']",9506
2022-02-23,"['great', 'game']",18689
2022-02-22,"['but', '69', '%', 'of', 'statistic', 'be', 'false']",39608
2022-02-22,['🤣'],3250
2022-02-22,"['norway', 'be', 'awesome', '!', '🇳', '🇴']",12445
2022-02-22,"['small', 'change', 'usually', 'affect', 'production', 'for', 'less', 'than', 'an', 'hour', ',', 'as', 'they', '’', 're', 'apply', 'to', 'a', 'few', 'station', 'during', 'break', '.', 'big', 'change', 'may', 'impact', 'output', 'for', 'a', 'day', 'or', 'two', '.', 'reversing', 'out', 'big', 'change', 'or', 'unexpected', 'part', 'shortage', 'be', 'what', 'impact', 'several', 'day', '.']",3207
2022-02-22,"['sometimes', '20', 'small', 'change', 'in', 'a', 'single', 'week']",6096
2022-02-22,"['switching', 'to', 'renewables', 'with', 'battery', 'would', 'avoid', 'blackout', '.', 'batteries', 'be', 'essential', ',', 'due', 'to', 'the', 'intermittent', 'nature', 'of', 'renewables', '.']",9296
2022-02-22,"['we', 'must', 'fight', 'for', 'it', 'to', 'be', 'better']",2170
2022-02-22,"['this', 'be', 'just', 'peel', 'back', 'the', 'first', 'layer', 'of', 'the', 'corruption', 'onion', '.', 'stay', 'tune', '…']",18771
2022-02-22,"['why', 'many', 'come', 'to', 'america']",1974
2022-02-22,['beautiful'],6701
2022-02-22,['yes'],3134
2022-02-22,"['v11', 'be', '💥']",5498
2022-02-22,['tuesday'],2210
2022-02-22,['yeah'],1693
2022-02-22,"['tau', '&', 'gt', ';', 'pi']",46511
2022-02-22,['ℏ'],125840
2022-02-22,"['!', '!']",3286
2022-02-22,['!'],2655
2022-02-22,"['in', 'earth', 'year']",12646
2022-02-22,"['it', 'be', 'take', 'longer', 'than', 'expect', 'to', 'make', 'the', 'upper', 'stage', 'not', 'expendable', '(', 'sigh', ')']",7735
2022-02-22,"['instead', 'of', '“', 'research', 'suggest', '”', ',', 'i', 'suggest', '“', 'warlock', 'say', '”']",1990
2022-02-22,"['…', 'a', 'river']",4496
2022-02-22,['😮'],3476
2022-02-22,['🤣'],5945
2022-02-22,['🤣'],1545
2022-02-22,"['m', 'night', 'should', 'do', 'a', 'horror', 'movie', 'about', 'this', '–', 'it', 'would', 'resonate']",48388
2022-02-22,"['entertainment', 'be', 'become', 'a', 'username', '/', 'password', '/', '2fa', 'nightmare']",215369
2022-02-21,"['sounds', 'good', ',', 'we', 'will', 'send', 'one', 'over']",4444
2022-02-21,"['that', 'would', 'be', 'great']",2032
2022-02-21,['🤣'],4313
2022-02-21,"['maybe', 'near', 'bro', 'airport', ',', 'since', 'that', 'serve', 'both', 'community', '?']",4168
2022-02-21,"['if', 'south', 'padre', 'and', '/', 'or', 'brownsville', 'would', 'like', 'a', 'starship', 'prototype', ',', 'we', 'can', 'send', 'one', 'over']",9422
2022-02-21,"['i', '’', 'm', 'pretty', 'sure', 'i', '’', 've', 'pay', 'the', 'most', 'tax', 'of', 'any', 'individual', 'ever', 'to', 'california', ',', 'but', 'it', 'isn', '’', 't', 'obvious', 'what', 'be', 'do', 'with', 'the', 'money']",5512
2022-02-21,"['rather', 'than', 'correct', 'itself', ',', 'the', 'lower', 'birth', 'rate', 'trend', 'appear', 'to', 'be', 'accelerate']",2256
2022-02-21,"['tesla', 'owner', 'in', 'the', 'greater', 'giga', 'texas', 'area', 'will', 'get', 'priority', ',', 'so', 'yes']",8603
2022-02-21,"['single', 'biggest', 'threat', 'to', 'future', 'of', 'civilization', 'imo']",2919
2022-02-21,['ok'],8368
2022-02-21,['🤣'],18897
2022-02-21,"['they', 'will', 'be', 'fine']",6990
2022-02-21,"['the', 'only', 'reason', 'i', 'didn', '’', 't', 'pay', 'federal', 'tax', 'in', '2018', 'be', 'because', 'i', '*', 'overpaid', '*', 'in', '2017', '!', 'since', 'they', 'steal', 'my', 'tax', 'record', ',', 'they', 'actually', 'know', 'that', '.']",5906
2022-02-21,['💯'],20155
2022-02-21,"['hypocritical', 'megadouche', '!']",23508
2022-02-21,"['will', 'visit', 'irs', 'next', 'time', 'i', '’', 'm', 'in', 'dc', 'just', 'to', 'say', 'hi', ',', 'since', 'i', 'pay', 'the', 'most', 'tax', 'ever', 'in', 'history', 'for', 'an', 'individual', 'last', 'year', '.', 'maybe', 'i', 'can', 'have', 'a', 'cookie', 'or', 'something', '…']",98071
2022-02-20,['true'],2455
2022-02-20,"['seriously', '.', 'how', 'long', 'must', 'this', 'go', 'on', '?']",13512
2022-02-20,"['depends', 'mostly', 'on', 'faa', 'certification', ',', 'but', 'hopefully', 'within', '6', 'month', '.', 'we', '’', 're', 'test', 'on', 'gulfstreams', 'to', 'debug', 'issue', ',', 'but', 'deployment', 'priority', 'be', 'commercial', 'airliner', '.']",2693
2022-02-20,['cybertruck'],3460
2022-02-20,"['yes', ',', 'in', 'the', 'air']",2359
2022-02-20,['probably'],4310
2022-02-20,"['i', 'think', 'it', 'will', 'reach', '2']",89468
2022-02-20,"['i', '’', 'm', 'drop', 'a', 'new', 'album']",109396
2022-02-20,[],364003
2022-02-19,"['we', 'have', 'a', 'very', 'talented', 'team']",24972
2022-02-19,['teamhumanity'],3591
2022-02-19,"['i', 'wish', 'i', 'could', 'help', '.', 'at', 'this', 'point', ',', 'it', 'seem', 'that', 'vote', 'at', 'the', 'next', 'election', 'be', 'the', 'remedy', '.']",25147
2022-02-19,"['actually', ',', 'april', '7th']",4755
2022-02-19,"['spacex', '’', 's', 'goal', 'be', 'to', 'make', 'life', 'multiplanetary', ',', 'whereas', 'their', 'goal', 'be', 'to', 'put', 'a', 'handful', 'of', 'satellite', 'in', 'orbit']",5800
2022-02-19,"['are', 'they', 'even', 'try', '?']",6075
2022-02-19,['yes'],3445
2022-02-19,['yes'],2315
2022-02-19,"['april', '1st']",4192
2022-02-19,"['and', ',', 'of', 'course', ',', 'you', 'can', 'pay', 'in', 'ðoge']",14202
2022-02-19,"['and', 'futuristic', 'diner', '/', 'drive-in', 'theater', 'plan', 'for', 'hollywood', 'area', '!']",11300
2022-02-19,['indeed'],6176
2022-02-19,"['lucky', 'bastard', ',', 'we', 'be', '!']",20622
2022-02-19,"['we', 'be', 'a', 'mobile', 'cell', 'colony']",9356
2022-02-19,"['so', 'amazing', 'that', 'we', 'decompress', 'from', 'a', 'single', 'cell', 'to', 'over', '30', 'trillion', 'cell']",191985
2022-02-18,['🤣'],2124
2022-02-18,['…'],19177
2022-02-18,['absolutely'],7628
2022-02-18,"['pretty', 'much', '🤣', '🤣']",53862
2022-02-18,"['plaid', 'model', 's', '&', 'amp', ';', 'x', 'be', 'sublime']",6033
2022-02-18,"['product', '&', 'gt', ';', 'marketing']",12019
2022-02-18,['💔'],28796
2022-02-18,"['an', 'evolutionary', 'asymmetry', 'helpful', 'to', 'survival', ',', 'but', 'counterproductive', 'when', 'survival', 'be', 'not', 'at', 'stake']",84520
2022-02-17,"['reasons', 'to', 'hate', 'be', 'remember', 'well', 'than', 'reason', 'to', 'love']",254941
2022-02-17,"['for', 'an', 'in-depth', 'explanation', ',', 'read']",3434
2022-02-17,"['high', 'pain', 'threshold']",16671
2022-02-17,"['model', '3', 'be', 'literally', 'the', 'most', 'make', 'in', 'america', 'car', 'in', '–', 'well', 'of', 'course', '–', 'america']",30831
2022-02-17,"['i', 'be', 'at', 'a', 'lunch', 'with', 'munger', 'in', '2009', 'where', 'he', 'tell', 'the', 'whole', 'table', 'all', 'the', 'way', 'tesla', 'would', 'fail', '.', 'made', 'me', 'quite', 'sad', ',', 'but', 'i', 'tell', 'him', 'i', 'agree', 'with', 'all', 'those', 'reason', '&', 'amp', ';', 'that', 'we', 'would', 'probably', 'die', ',', 'but', 'it', 'be', 'worth', 'try', 'anyway', '.']",124665
2022-02-17,"['some', 'carmaker', 'be', 'try', 'hard']",4867
2022-02-17,"['[', 'ahem', ']']",38014
2022-02-17,['ok'],2551
2022-02-17,"['no', 'way', '🙄']",10234
2022-02-16,['🤔'],5077
2022-02-16,"['agreed', '.', 'this', 'have', 'be', 'break', 'for', 'a', 'long', 'time', '.']",19417
2022-02-15,"['this', 'will', 'be', 'real', 'in', 'our', 'lifetime']",61528
2022-02-15,"['starship', 'to', 'mars', 'simulation']",72479
2022-02-15,"['election', 'time', 'will', 'be', 'interesting']",13475
2022-02-15,"['announcements', 'come', 'soon']",4082
2022-02-15,"['yes', ',', 'but', 'more', 'ground', 'station', '&', 'amp', ';', 'improve', 'packet', 'rout', 'will', 'make', 'a', 'bigger', 'difference']",6205
2022-02-15,"['system', 'be', 'work', 'well', 'in', 'australia', '&', 'amp', ';', 'new', 'zealand']",1844
2022-02-15,"['over', '250k', 'starlink', 'user', 'terminal']",134330
2022-02-14,"['destacking', 'starship']",78786
2022-02-14,"['wow', ',', 'that', '’', 's', 'a', 'lot', 'of', 'podcasts', '!', 'ok', ',', 'i', 'will', 'do', 'one', '.', 'maybe', 'we', 'could', 'combine', 'with', 'dave', 'lee', 'and', 'a', 'few', 'others', '.']",47197
2022-02-14,['🤣'],17889
2022-02-14,['😉'],5565
2022-02-14,"['tim', 'be', 'great']",7192
2022-02-14,['great'],6505
2022-02-14,"['so', 'many', 'layer', 'with', 'tesla', 'fsd', 'ai', '!']",3971
2022-02-13,"['♥', '️']",10398
2022-02-13,"['the', 'pledge', 'be', 'good', 'no', 'matter', 'what']",4241
2022-02-13,"['moving', 'to', '33', 'engine', 'on', 'next', 'booster']",10958
2022-02-13,['💦'],42836
2022-02-13,"['ancient', 'time']",10928
2022-02-13,"['the', 'fun', 'police', 'make', 'us', 'do', 'it', '(', 'sigh', ')']",5087
2022-02-13,"['now', 'tesla', 'be', 'worth', 'a', 'trilly', 'willy', '!']",15050
2022-02-13,"['yup', ',', 'we', 'need', 'to', 'do', 'that']",11445
2022-02-13,"['high', 'standard', '!']",46059
2022-02-12,"['that', 'be', 'a', 'tough', 'one', '.', 'new', 'model', 'y', 'structural', 'pack', 'be', 'next-level', 'though', '.']",9336
2022-02-12,"['happy', 'birthday', ',', 'jared', '!']",8411
2022-02-12,"['the', 'duty', 'of', 'a', 'leader', 'be', 'to', 'serve', 'their', 'people', ',', 'not', 'for', 'the', 'people', 'to', 'serve', 'them']",612163
2022-02-11,"['car', 'should', 'also', 'reverse', 'slightly', 'if', 'it', 'peek', 'into', 'an', 'intersection', '&', 'amp', ';', 'see', 'fast-moving', 'cross-traffic', '(', 'just', 'like', 'a', 'person', 'would', ')']",7278
2022-02-11,['exactly'],9862
2022-02-11,['true'],14740
2022-02-11,"['probably', '250', 't-f', 'by', 'end', 'of', 'year']",26125
2022-02-11,"['later', 'this', 'year', ',', 'remain', 'fussy', 'bit', 'will', 'be', 'go', ',', 'allow', 'deletion', 'of', 'shroud']",7074
2022-02-11,"['true', 'national', 'debt', ',', 'include', 'unfunded', 'entitlement', ',', 'be', 'at', 'least', '$', '60', 'trillion', '–', 'roughly', 'three', 'time', 'the', 'size', 'of', 'the', 'entire', 'us', 'economy', '.', 'something', 'have', 'get', 'to', 'give', '.']",33701
2022-02-11,"['looming', 'disaster', 'for', 'sure']",3973
2022-02-11,"['good', 'question', '!']",20069
2022-02-10,"['human', 'for', 'scale']",8071
2022-02-10,[],291829
2022-02-10,[],80946
2022-02-10,[],252464
2022-02-10,[],40317
2022-02-10,"['tower', 'arm', 'be', 'lift', 'starship', 'onto', 'super', 'heavy', 'booster']",68624
2022-02-10,"['this', 'would', 'generate', 'a', 'lot', 'of', 'goodwill']",2865
2022-02-10,"['🧲', '⛈', '🪦']",16884
2022-02-10,['🖤'],8185
2022-02-10,"['much', 'appreciate', '!']",35262
